Title,Location,Cost,Area
Apartment Olof Palmeplein,                        1025 WS Amsterdam (Buikslotermeer)        ,"                    €1,395 per month                ",59 m²
Apartment Stadhouderskade,                        1073 AW Amsterdam (Oude Pijp)        ,"                    €1,450 per month                ",70 m²
Apartment Isaak Gosseshof,                        1065 XH Amsterdam (Slotervaart Noord)        ,"                    €1,450 per month                ",60 m²
Apartment Bosboom Toussaintstraat,                        1054 AM Amsterdam (Helmersbuurt)        ,"                    €1,200 per month                ",24 m²
Apartment Driekoningenstraat,                        1016 AL Amsterdam (Grachtengordel-West)        ,"                    €1,785 per month                ",70 m²
Apartment Nijenburg,                        1081 GG Amsterdam (Buitenveldert-West)        ,"                    €1,850 per month                ",86 m²
Apartment Stadionkade,                        1077 VH Amsterdam (Apollobuurt)        ,"                    €2,750 per month                ",146 m²
Apartment Stadionkade,                        1077 VH Amsterdam (Apollobuurt)        ,"                    €2,750 per month                ",146 m²
Apartment Rokin 18 B,                        1012 KR Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                    €1,750 per month                ",55 m²
Apartment Damrak 11 2,                        1012 LG Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                    €1,850 per month                ",74 m²
Apartment Johannes Verhulststraat 79 II,                        1071 MV Amsterdam (Museumkwartier)        ,"                    €1,850 per month                ",80 m²
Apartment Elandsgracht 32 I,                        1016 TW Amsterdam (Jordaan)        ,"                    €1,375 per month                ",49 m²
Apartment Tweede Jan Steenstraat,                        1074 CR Amsterdam (Oude Pijp)        ,"                    €2,100 per month                ",65 m²
Apartment Woestduinstraat,                        1058 SZ Amsterdam (Hoofddorppleinbuurt)        ,"                    €1,900 per month                ",62 m²
Apartment Frederiksstraat,                        1054 LB Amsterdam (Overtoomse Sluis)        ,"                    €1,695 per month                ",75 m²
House Zuideinde,                        1035 PC Amsterdam (Oostzanerwerf)        ,"                    €1,400 per month                ",80 m²
Apartment Pieter Cornelisz. Hooftstraat,                        1071 CD Amsterdam (Museumkwartier)        ,"                    €1,350 per month                ",60 m²
Apartment Hobbemakade,                        1071 XP Amsterdam (Museumkwartier)        ,"                    €1,150 per month                ",35 m²
Apartment Da Costastraat 100 4,                        1053 ZT Amsterdam (Van Lennepbuurt)        ,"                    €2,200 per month                ",90 m²
Apartment Vierwindenstraat,                        1013 CW Amsterdam (Haarlemmerbuurt)        ,"                    €1,625 per month                ",60 m²
Apartment Bloedstraat,                        1012 BS Amsterdam (Burgwallen-Oude Zijde)        ,"                    €1,950 per month                ",85 m²
Apartment Admiraal De Ruijterweg 221 I,                        1055 LR Amsterdam (Landlust)        ,"                    €1,700 per month                ",55 m²
Apartment Heringa-State,                        1082 TT Amsterdam (Buitenveldert-West)        ,"                    €1,895 per month                ",80 m²
Apartment Azaleastraat 8,                        1032 BW Amsterdam (Volewijck)        ,"                    €1,450 per month                ",76 m²
Apartment Vechtstraat 120 2,                        1079 JP Amsterdam (Rijnbuurt)        ,"                    €1,550 per month                ",50 m²
Apartment Bestevâerstraat 137 2,                        1056 HL Amsterdam (Landlust)        ,"                    €1,500 per month                ",56 m²
Apartment Leidsekade 57 A,                        1016 CX Amsterdam (Jordaan)        ,"                    €2,000 per month                ",80 m²
Apartment Valkenburgerstraat,                        1011 NA Amsterdam (Nieuwmarkt/Lastage)        ,"                    €2,415 per month                ",90 m²
Apartment Oudezijds Voorburgwal,                        1012 EH Amsterdam (Burgwallen-Oude Zijde)        ,"                    €1,895 per month                ",85 m²
Apartment Gerard Doustraat 88 4A,                        1072 VW Amsterdam (Oude Pijp)        ,"                    €1,080 per month                ",30 m²
Apartment Lodewijk Tripstraat 11 2-a,                        1052 ER Amsterdam (Frederik Hendrikbuurt)        ,"                    €1,220 per month                ",30 m²
